Zip,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**
60456,9,0,0,0,0,0,0,0
60457,20,0,9,0,0,0,0,0
60458,10,9,8,0,0,0,0,0
60459,37,13,21,10,0,29,0,0
60461,0,18,10,0,0,0,0,0
60462,42,7,28,0,8,8,0,0
60463,31,0,11,0,0,0,0,0
60464,9,0,6,0,0,0,0,0
60465,36,0,16,0,0,0,0,0
60466,90,101,90,0,0,11,0,0
60467,36,6,21,0,0,0,0,0
60468,6,0,7,0,0,0,0,0
60469,0,0,9,0,0,6,0,0
60471,0,76,25,0,0,0,0,0
60472,0,18,14,0,0,0,0,0
60473,20,122,45,0,0,8,0,0
60475,12,15,10,0,0,0,0,0
60476,0,0,0,0,0,0,0,0
60477,27,7,32,0,0,0,0,0
60478,7,101,24,0,0,0,0,0
60480,6,0,7,0,0,0,0,0
60481,7,0,0,0,0,0,0,0
60482,8,0,11,0,0,0,0,0
60484,0,39,14,0,0,0,0,0
60487,22,0,17,0,8,0,0,0
60490,18,14,14,0,8,8,0,0
60491,33,0,28,0,0,0,0,0
60501,17,0,15,6,0,14,0,0
60502,8,0,6,0,0,0,0,0
60503,0,0,0,0,0,0,0,0
60504,15,16,6,0,6,12,0,0
60505,10,9,17,0,0,137,0,0
60506,37,24,12,6,0,67,0,0
60510,12,0,8,0,0,8,0,0
60513,26,0,20,0,0,6,0,0
60514,11,0,0,0,0,0,0,0
60515,19,0,0,0,0,0,0,0
60516,21,0,12,0,0,0,0,0
60517,22,9,24,0,0,7,0,0
60521,17,0,8,0,0,0,0,0
60523,18,0,8,0,7,0,0,0
60525,47,13,18,0,0,11,0,0
60526,18,0,0,0,0,0,0,0
60527,67,11,35,8,9,9,0,0
60532,20,8,10,0,0,0,0,0
60534,12,0,9,6,0,13,0,0
60538,20,0,0,0,0,13,0,0
60540,15,0,10,0,0,0,0,0
60542,7,0,0,0,0,7,0,0
60543,22,14,6,0,0,9,0,0
60544,20,11,11,0,0,9,0,0
60545,9,0,0,0,0,0,0,0
60546,18,7,13,0,0,16,0,0
60548,6,0,0,0,0,0,0,0
60551,0,8,0,0,0,0,0,0
60554,7,0,0,0,0,0,0,0
60555,8,0,0,0,0,18,0,0
60558,14,0,0,0,0,0,0,0
60559,41,13,20,0,0,13,0,0
60560,11,0,0,0,0,0,0,0
60561,21,6,10,0,0,0,0,0
60563,27,0,7,0,0,0,0,0
60564,24,0,12,0,6,0,0,0
60565,49,0,14,0,9,0,0,0
60585,17,7,9,0,0,0,0,0
60586,34,23,19,7,0,20,0,0
60601,17,8,0,0,7,0,0,0
60605,24,11,39,0,9,0,0,0
60606,0,6,11,0,0,0,0,0
60607,32,38,89,0,10,10,0,0
60608,61,124,66,14,8,184,0,0
60609,38,86,81,9,0,164,0,0
60610,53,34,17,0,6,6,0,0
60611,44,0,11,0,10,7,0,0
60612,23,177,62,0,0,15,0,0
60613,81,27,39,10,6,20,0,0
60614,107,30,38,6,10,23,0,0
60615,9,140,38,0,0,0,0,0
60616,22,107,38,0,28,14,0,0
60617,15,226,96,9,0,50,0,0
60618,100,13,97,20,13,137,0,0
60619,0,361,81,0,0,0,0,0
60620,6,336,166,0,0,0,0,0
60621,0,173,51,7,0,7,0,0
60622,66,38,53,14,0,64,0,0
60623,29,168,169,25,0,246,0,0
60624,8,254,56,0,0,16,0,0
60625,64,17,89,28,39,134,0,0
60626,77,78,63,21,15,67,0,0
60628,0,302,121,0,0,8,0,0
60629,58,112,200,26,0,267,0,0
60630,49,0,68,17,22,48,0,0
60631,53,0,39,0,0,6,0,0
60632,56,7,135,30,7,280,0,0
60633,0,28,17,0,0,6,0,0
60634,90,9,141,29,25,131,0,0
60636,0,186,51,0,0,23,0,0
60637,16,202,48,0,0,0,0,0
60638,73,20,112,18,0,71,0,0
60639,55,78,237,26,0,289,0,0
60640,104,49,62,17,30,41,0,0
60641,49,12,121,13,7,137,0,0
60642,14,0,12,0,0,13,0,0
60643,28,172,159,0,0,0,0,0
60644,9,290,97,8,0,9,0,0
60645,190,79,67,52,37,93,0,0
60646,36,0,21,6,0,16,0,0
60647,45,17,87,14,0,133,0,0
60649,0,255,71,0,0,0,0,0
60651,9,235,103,14,0,85,0,0
60652,20,84,100,7,0,37,0,0
60653,0,177,56,0,10,0,0,0
60654,35,21,12,0,9,0,0,0
60655,45,18,72,0,0,0,0,0
60656,38,0,34,0,9,13,0,0
60657,99,11,38,0,7,16,0,0
60659,75,19,63,43,53,50,0,0
60660,57,36,28,14,7,34,0,0
60661,8,0,9,0,0,0,0,0
60706,50,0,24,0,7,18,0,0
60707,65,30,67,13,0,34,0,0
60712,34,0,14,17,16,0,0,0
60714,75,0,45,18,36,27,0,0
60803,7,16,36,0,0,9,0,0
60804,115,23,107,61,0,207,0,0
60805,13,17,50,0,0,7,0,0
60827,0,107,37,0,0,0,0,0
60901,66,33,61,0,0,15,0,0
60914,25,0,17,0,0,0,0,0
60915,10,0,0,0,0,0,0,0
60950,13,0,0,0,0,0,0,0
60954,0,0,0,0,0,0,0,0
60964,0,0,0,0,0,0,0,0
61008,11,0,31,0,0,0,0,0
61016,7,0,0,0,0,0,0,0
61021,0,0,9,0,0,0,0,0
61032,0,0,0,0,0,0,0,0
61065,0,0,6,0,0,0,0,0
61068,0,0,51,0,0,0,0,0
61071,6,0,0,0,0,6,0,0
61073,0,0,0,0,0,0,0,0
61081,8,0,7,0,0,0,0,0
61101,6,7,0,0,0,0,0,0
61102,6,15,0,0,0,0,0,0
61103,9,8,0,0,0,0,0,0
61104,0,0,8,0,0,0,0,0
61107,8,0,0,0,0,0,0,0
61108,14,0,8,0,0,15,0,0
61109,10,0,0,0,0,12,0,0
61111,6,0,0,0,0,0,0,0
61114,0,7,0,0,0,0,0,0
61115,6,0,0,0,0,0,0,0
61201,17,10,17,0,0,0,0,0
61235,0,0,0,0,0,0,0,0
61241,0,0,0,0,0,0,0,0
61244,15,6,36,0,0,18,0,0
61264,0,0,0,0,0,0,0,0
61265,18,0,29,0,0,22,0,0
61282,0,0,10,0,0,0,0,0
61342,0,0,0,0,0,0,0,0
61401,8,6,0,0,0,0,0,0
61462,6,0,11,0,0,12,0,0
61554,0,0,0,0,0,0,0,0
61603,0,0,0,0,0,0,0,0
61604,0,0,0,0,0,0,0,0
61611,11,0,0,0,0,0,0,0
61614,9,0,0,0,0,0,0,0
61615,7,0,0,0,0,0,0,0
61701,7,11,13,0,0,0,0,0
61704,0,0,6,0,0,0,0,0
61705,0,0,0,0,0,0,0,0
61761,0,0,8,0,0,0,0,0
61764,7,0,0,0,0,0,0,0
61801,0,0,0,0,0,0,0,0
61802,9,0,0,0,0,0,0,0
61820,0,0,0,0,0,0,0,0
61821,0,0,0,0,0,0,0,0
61822,13,0,0,0,0,0,0,0
61832,0,0,0,0,0,0,0,0
61853,7,0,0,0,0,0,0,0
61874,0,0,0,0,0,0,0,0
61910,6,0,0,0,0,0,0,0
61920,8,0,0,0,0,0,0,0
61938,0,0,0,0,0,0,0,0
62002,15,13,12,0,0,0,0,0
62010,6,0,0,0,0,0,0,0
62024,6,0,0,0,0,0,0,0
62025,26,6,23,0,0,0,0,0
62034,0,0,7,0,0,0,0,0
62035,0,0,0,0,0,0,0,0
62040,23,6,7,0,0,0,0,0
62052,8,0,0,0,0,0,0,0
62056,0,0,0,0,0,0,0,0
62060,0,6,0,0,0,0,0,0
62069,6,0,0,0,0,0,0,0
62095,0,0,0,0,0,0,0,0
62201,0,0,0,0,0,0,0,0
62203,0,7,0,0,0,0,0,0
62204,0,6,0,0,0,0,0,0
62205,0,10,0,0,0,0,0,0
62206,0,24,0,0,0,0,0,0
62207,0,16,0,0,0,0,0,0
62208,9,7,0,0,0,0,0,0
62220,18,6,6,0,0,0,0,0
62221,9,15,7,0,0,0,0,0
62223,0,11,8,0,0,0,0,0
62226,19,18,14,0,0,0,0,0
62231,0,0,0,0,0,0,0,0
62233,29,0,0,0,0,0,0,0
62234,8,6,6,0,0,0,0,0
62236,23,0,8,0,0,0,0,0
62249,6,0,0,0,0,0,0,0
62258,8,0,0,0,0,0,0,0
62265,0,0,0,0,0,0,0,0
62269,12,9,7,0,0,0,0,0
62278,13,0,0,0,0,0,0,0
62286,8,0,0,0,0,0,0,0
62288,6,0,0,0,0,0,0,0
62294,9,0,0,0,0,0,0,0
62298,14,0,7,0,0,0,0,0
62301,9,0,0,0,0,0,0,0
62305,10,0,0,0,0,0,0,0
62448,34,0,0,0,0,0,0,0
62454,0,0,0,0,0,0,0,0
62471,10,0,0,0,0,0,0,0
62521,43,16,13,0,0,0,0,0
62522,0,6,0,0,0,0,0,0
62526,0,0,0,0,0,0,0,0
62568,19,0,0,0,0,0,0,0
62618,0,0,0,0,0,0,0,0
62650,10,0,0,0,0,0,0,0
62684,7,0,0,0,0,0,0,0
62702,15,0,0,0,0,0,0,0
62703,0,0,0,0,0,0,0,0
62704,6,0,0,0,0,0,0,0
62707,6,0,0,0,0,0,0,0
62711,7,0,0,0,0,0,0,0
62801,13,0,22,0,0,0,0,0
62864,25,0,40,0,0,0,0,0
62901,18,11,0,0,0,7,0,0
62918,0,0,0,0,0,0,0,0
62959,0,0,0,0,0,0,0,0
62966,0,0,0,0,0,0,0,0
62992,0,0,0,0,0,8,0,0
